call_number,latency_seconds
1,0.13380193710327148
2,0.05618691444396973
3,0.0565948486328125
4,0.05597686767578125
5,0.05587577819824219
6,0.056921958923339844
7,0.0577390193939209
8,0.0567021369934082
9,0.13126301765441895
10,0.11685419082641602
11,0.05671119689941406
12,0.056427001953125
13,0.12797999382019043
14,0.1353909969329834
15,0.058695077896118164
16,0.05642509460449219
17,0.05759000778198242
18,0.05629897117614746
19,0.061885833740234375
20,0.05558490753173828
21,0.05670309066772461
22,0.1184539794921875
23,0.06341195106506348
24,0.05577898025512695
25,0.05571794509887695
26,0.055411338806152344
27,0.05680513381958008
28,0.23708009719848633
29,0.05718708038330078
30,0.05718207359313965
31,0.06797313690185547
32,0.05652618408203125
33,0.057331085205078125
34,0.057409048080444336
35,0.058118343353271484
36,0.14206409454345703
37,0.056794166564941406
38,0.058940887451171875
39,0.05742001533508301
40,0.05562877655029297
41,0.1369612216949463
42,0.13112783432006836
43,0.058279991149902344
44,0.05763411521911621
45,0.059049129486083984
46,0.05967283248901367
47,0.05762505531311035
48,0.05518603324890137
49,0.05927681922912598
50,0.14403581619262695
51,0.05673027038574219
52,0.05797576904296875
53,0.05609893798828125
54,0.05667710304260254
55,0.13420796394348145
56,0.13210797309875488
57,0.05794978141784668
58,0.05905723571777344
59,0.059799909591674805
60,0.057869911193847656
61,0.055612802505493164
62,0.05725526809692383
63,0.07251620292663574
64,0.13291001319885254
65,0.0683588981628418
66,0.05885887145996094
67,0.05881333351135254
68,0.05541205406188965
69,0.12201309204101562
70,0.1322779655456543
71,0.06985092163085938
72,0.0576329231262207
73,0.05740213394165039
74,0.05964207649230957
75,0.05681729316711426
76,0.05641603469848633
77,0.055494070053100586
78,0.14187192916870117
79,0.05595231056213379
80,0.055490970611572266
81,0.05887579917907715
82,0.05621981620788574
83,0.13309121131896973
84,0.13458991050720215
85,0.05616021156311035
86,0.05607891082763672
87,0.05709385871887207
88,0.0565638542175293
89,0.06481099128723145
90,0.05481863021850586
91,0.055520057678222656
92,0.1208341121673584
93,0.056813955307006836
94,0.05670499801635742
95,0.057565927505493164
96,0.05543398857116699
97,0.05576205253601074
98,0.13548517227172852
99,0.1330280303955078
100,0.056473731994628906
